,$,fin_codigo,par_izq,par_der,id,num,cadena,operador_sum,operador_rest,operador_mult,operador_div,imprimir,verdadero,falso,var_entero,var_cadena,var_flotante,var_booleano,igual,comp_mayor_que,comp_menor_que,mientras,dos_puntos,comentario_uno,comentario_dos,romper,fin_bucle,para,en,rango,condicional_si,condicional_sino,fin_si,definir,coma,retornar,fin_funcion,
S,,S ::= INICIO $,S ::= INICIO $,,S ::= INICIO $,S ::= INICIO $,S ::= INICIO $,,,,,S ::= INICIO $,,,S ::= INICIO $,S ::= INICIO $,S ::= INICIO $,S ::= INICIO $,,,,S ::= INICIO $,,,,,,S ::= INICIO $,,,S ::= INICIO $,,,S ::= INICIO $,,,
INICIO,,INICIO ::= fin_codigo,INICIO ::= OPERACION INICIO,,INICIO ::= OPERACION INICIO,INICIO ::= OPERACION INICIO,INICIO ::= OPERACION INICIO,,,,,INICIO ::= IMPRESION INICIO,,,INICIO ::= ASIGNACION INICIO,INICIO ::= ASIGNACION INICIO,INICIO ::= ASIGNACION INICIO,INICIO ::= ASIGNACION INICIO,,,,INICIO ::= BUCLE INICIO,,,,,,INICIO ::= BUCLE INICIO,,,INICIO ::= CONDICIONAL INICIO,,,INICIO ::= FUNCION INICIO,,,
OPERACION,,,OPERACION ::= par_izq OPERACION par_der C,,OPERACION ::= A,OPERACION ::= A,OPERACION ::= A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,,,,,A ::= id C,A ::= num C,A ::= cadena C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,,C ::= ε,C ::= ε,C ::= ε,C ::= ε,C ::= ε,C ::= ε,C ::= operador_sum A,C ::= operador_rest A,C ::= operador_mult A,C ::= operador_div A,C ::= ε,,,C ::= ε,C ::= ε,C ::= ε,C ::= ε,,,,C ::= ε,,C ::= ε,C ::= ε,C ::= ε,C ::= ε,C ::= ε,,,C ::= ε,C ::= ε,C ::= ε,C ::= ε,,C ::= ε,C ::= ε
IMPRESION,,,,,,,,,,,,IMPRESION ::= imprimir F,,,,,,,,,,,,,,,,,,,,,,,,,
F,,,F ::= par_izq G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G,,,,,G ::= A H,G ::= A H,G ::= A H,,,,,,G ::= verdadero H,G ::= falso H,,,,,,,,,,,,,,,,,,,,,,,
H,,,,H ::= par_der,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASIGNACION,,,,,,,,,,,,,,,ASIGNACION ::= var_entero D,ASIGNACION ::= var_cadena D,ASIGNACION ::= var_flotante D,ASIGNACION ::= var_booleano D,,,,,,,,,,,,,,,,,,,
D,,,,,D ::= id igual E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,,,E ::= N',,E ::= N',E ::= N',E ::= N',,,,,,E ::= N',E ::= N',,,,,,,,,,,,,,,,,,,,,,,
COMPARACION,,,,,COMPARACION ::= id I,COMPARACION ::= num I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I,,,,,,,,,,,,,,,,,,,I ::= OPERADOR_COMP J,I ::= OPERADOR_COMP J,I ::= OPERADOR_COMP J,,,,,,,,,,,,,,,,
OPERADOR_COMP,,,,,,,,,,,,,,,,,,,OPERADOR_COMP ::= igual,OPERADOR_COMP ::= comp_mayor_que,OPERADOR_COMP ::= comp_menor_que,,,,,,,,,,,,,,,,
J,,,,,J ::= id,J ::= num,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUCLE,,,,,,,,,,,,,,,,,,,,,,BUCLE ::= BUCLE_WHILE,,,,,,BUCLE ::= BUCLE_FOR,,,,,,,,,
BUCLE_WHILE,,,,,,,,,,,,,,,,,,,,,,BUCLE_WHILE ::= mientras R dos_puntos S',,,,,,,,,,,,,,,
R,,,,,R ::= COMPARACION,R ::= COMPARACION,,,,,,,R ::= verdadero,,,,,,,,,,,,,,,,,,,,,,,,
S',,,S' ::= OPERACION S',,S' ::= OPERACION S',S' ::= OPERACION S',S' ::= OPERACION S',,,,,S' ::= IMPRESION S',,,S' ::= ASIGNACION S',S' ::= ASIGNACION S',S' ::= ASIGNACION S',S' ::= ASIGNACION S',,,,S' ::= BUCLE,,S' ::= comentario_uno S',S' ::= comentario_dos S',S' ::= romper S',S' ::= fin_bucle,S' ::= BUCLE,,,S' ::= CONDICIONAL S',,,,,,
BUCLE_FOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,BUCLE_FOR ::= para id en T dos_puntos S',,,,,,,,,
T,,,,,T ::= id,,,,,,,,,,,,,,,,,,,,,,,,,T ::= rango par_izq V par_der,,,,,,,
V,,,,,V ::= id,V ::= num,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONDICIONAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CONDICIONAL ::= condicional_si COMPARACION dos_puntos O,,,,,,
O,,,O ::= OPERACION O,,O ::= OPERACION O,O ::= OPERACION O,O ::= OPERACION O,,,,,O ::= IMPRESION O,,,O ::= ASIGNACION O,O ::= ASIGNACION O,O ::= ASIGNACION O,O ::= ASIGNACION O,,,,O ::= BUCLE O,,O ::= comentario_uno O,O ::= comentario_dos O,,,O ::= BUCLE O,,,,O ::= P,,,,,
P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P ::= condicional_sino dos_puntos Q,,,,,
Q,,,Q ::= OPERACION Q,,Q ::= OPERACION Q,Q ::= OPERACION Q,Q ::= OPERACION Q,,,,,Q ::= IMPRESION Q,,,Q ::= ASIGNACION Q,Q ::= ASIGNACION Q,Q ::= ASIGNACION Q,Q ::= ASIGNACION Q,,,,Q ::= BUCLE Q,,Q ::= comentario_uno Q,Q ::= comentario_dos Q,,,Q ::= BUCLE Q,,,,,Q ::= fin_si,,,,
FUNCION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FUNCION ::= definir id par_izq K,,,
K,,,,,K ::= id K',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K',,,,K' ::= L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,K' ::= coma K,,
L,,,,L ::= par_der dos_puntos M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,,,M ::= OPERACION M,,M ::= OPERACION M,M ::= OPERACION M,M ::= OPERACION M,,,,,M ::= IMPRESION M,,,M ::= ASIGNACION M,M ::= ASIGNACION M,M ::= ASIGNACION M,M ::= ASIGNACION M,,,,M ::= BUCLE M,,,,,,M ::= BUCLE M,,,M ::= CONDICIONAL M,,,,,M ::= retornar N',
N',,,N' ::= OPERACION Z,,N' ::= OPERACION Z,N' ::= OPERACION Z,N' ::= OPERACION Z,,,,,,N' ::= verdadero Z,N' ::= falso Z,,,,,,,,,,,,,,,,,,,,,,,
Z,,Z ::= ε,Z ::= ε,,Z ::= ε,Z ::= ε,Z ::= ε,,,,,Z ::= ε,,,Z ::= ε,Z ::= ε,Z ::= ε,Z ::= ε,,,,Z ::= ε,,Z ::= ε,Z ::= ε,Z ::= ε,Z ::= ε,Z ::= ε,,,Z ::= ε,Z ::= ε,Z ::= ε,Z ::= ε,,Z ::= ε,Z ::= fin_funcion
